id,name,surface_area,land_area,state_name
01001,Autauga,1565,1540,Alabama
01003,Baldwin,5251,4118,Alabama
01005,Barbour,2343,2292,Alabama
01007,Bibb,1622,1612,Alabama
01009,Blount,1685,1670,Alabama
01011,Bullock,1619,1613,Alabama
01013,Butler,2015,2012,Alabama
01015,Calhoun,1586,1569,Alabama
01017,Chambers,1562,1545,Alabama
01019,Cherokee,1554,1434,Alabama
01021,Chilton,1815,1794,Alabama
01023,Choctaw,2385,2366,Alabama
01025,Clarke,3244,3208,Alabama
01027,Clay,1570,1564,Alabama
01029,Cleburne,1453,1451,Alabama
01031,Coffee,1762,1759,Alabama
01033,Colbert,1611,1535,Alabama
01035,Conecuh,2209,2202,Alabama
01037,Coosa,1726,1686,Alabama
01039,Covington,2703,2669,Alabama
01041,Crenshaw,1582,1577,Alabama
01043,Cullman,1955,1903,Alabama
01045,Dale,1457,1453,Alabama
01047,Dallas,2574,2535,Alabama
01049,DeKalb,2017,2013,Alabama
01051,Elmore,1702,1602,Alabama
01053,Escambia,2469,2448,Alabama
01055,Etowah,1421,1386,Alabama
01057,Fayette,1630,1626,Alabama
01059,Franklin,1674,1642,Alabama
01061,Geneva,1499,1488,Alabama
01063,Greene,1709,1676,Alabama
01065,Hale,1700,1668,Alabama
01067,Henry,1472,1455,Alabama
01069,Houston,1506,1502,Alabama
01071,Jackson,2918,2792,Alabama
01073,Jefferson,2911,2878,Alabama
01075,Lamar,1568,1567,Alabama
01077,Lauderdale,1867,1729,Alabama
01079,Lawrence,1858,1789,Alabama
01081,Lee,1595,1574,Alabama
01083,Limestone,1573,1450,Alabama
01085,Lowndes,1878,1854,Alabama
01087,Macon,1588,1577,Alabama
01089,Madison,2105,2076,Alabama
01091,Marengo,2545,2530,Alabama
01093,Marion,1926,1923,Alabama
01095,Marshall,1614,1466,Alabama
01097,Mobile,4258,3184,Alabama
01099,Monroe,2679,2656,Alabama
01101,Montgomery,2072,2031,Alabama
01103,Morgan,1552,1500,Alabama
01105,Perry,1875,1864,Alabama
01107,Pickens,2305,2283,Alabama
01109,Pike,1743,1741,Alabama
01111,Randolph,1513,1504,Alabama
01113,Russell,1676,1661,Alabama
01115,St. Clair,1693,1637,Alabama
01117,Shelby,2097,2033,Alabama
01119,Sumter,2365,2341,Alabama
01121,Talladega,1969,1908,Alabama
01123,Tallapoosa,1985,1856,Alabama
01125,Tuscaloosa,3500,3423,Alabama
01127,Walker,2085,2049,Alabama
01129,Washington,2819,2798,Alabama
01131,Wilcox,2350,2301,Alabama
01133,Winston,1637,1588,Alabama
02013,Aleutians East Borough,38875,18083,Alaska
02016,Aleutians West Census Area,36561,11371,Alaska
02020,Anchorage Municipality,5079,4415,Alaska
02050,Bethel Census Area,117855,105076,Alaska
02060,Bristol Bay Borough,2299,1305,Alaska
02068,Denali Borough,33092,33026,Alaska
02070,Dillingham Census Area,54170,48093,Alaska
02090,Fairbanks North Star Borough,19279,19006,Alaska
02100,Haines Borough,7059,6005,Alaska
02105,Hoonah-Angoon Census Area,28268,19489,Alaska
02110,Juneau City and Borough,8428,6998,Alaska
02122,Kenai Peninsula Borough,64108,41635,Alaska
02130,Ketchikan Gateway Borough,17233,12583,Alaska
02150,Kodiak Island Borough,31136,16963,Alaska
02164,Lake and Peninsula Borough,85269,61258,Alaska
02170,Matanuska-Susitna Borough,65417,63734,Alaska
02180,Nome Census Area,73239,59471,Alaska
02185,North Slope Borough,245521,229720,Alaska
02188,Northwest Arctic Borough,105539,92133,Alaska
02195,Petersburg Census Area,14722,8500,Alaska
02198,Prince of Wales-Hyder Census Area,19900,10160,Alaska
02220,Sitka City and Borough,12462,7434,Alaska
02230,Skagway Municipality,1202,1172,Alaska
02240,Southeast Fairbanks Census Area,64904,64151,Alaska
02261,Valdez-Cordova Census Area,104481,88681,Alaska
02270,Wade Hampton Census Area,50953,44241,Alaska
02275,Wrangell City and Borough,8967,6582,Alaska
02282,Yakutat City and Borough,24509,19812,Alaska
02290,Yukon-Koyukuk Census Area,382813,376856,Alaska
04001,Apache,29056,29001,Arizona
04003,Cochise,16106,15969,Arizona
04005,Coconino,48333,48223,Arizona
04007,Gila,12420,12323,Arizona
04009,Graham,12020,11972,Arizona
04011,Greenlee,4787,4774,Arizona
04012,La Paz,11691,11654,Arizona
